,brand,family,reference,name,produced,limited,caseMaterial,caseGlass,caseBack,caseShape,caseDiameter,caseHeight,caseLugWidth,dialColor,dialMaterial,dialIndexes,dialHands,movementType,movementBrand,movementCaliber,movementDisplay,movementDiameter,movementJewels,movementReserve,movementFrequency,movementTime,description,imageLink,imagePath
346,A. Lange & Söhne,1815,,Double Split Sincere Pink,2005 - 2005,"Yes, 10 units",Pink gold,Sapphire,Open,,43.20 mm,15.30 mm,22.00 mm,Black,,Roman Numerals,Alpha,Handwound,A. Lange & Söhne,L001.1,Analog,30.60 mm,40.0,38 h,21600 bph,"Hours, Minutes, Small Seconds",The ref. 404.047 Double Split was created in 2005 for authorized Lange & Sohne dealer Sincere. It features a pink gold case and a black dial - no contrasting subdials.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/double-split/404-047-99.jpg,images/404-047-99.jpg
347,A. Lange & Söhne,1815,,1815 40 Pink Gold / Silver,2009,No,Rose Gold,Sapphire,Open,Round,40.00 mm,8.90 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds",The A. Lange & Söhne 233.032 was introduced in 2009. It features a pink gold case of 40mm and is powered by the hand-wound caliber L051.1.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/233-032-63.jpg,images/233-032-63.jpg
348,A. Lange & Söhne,1815,,1815 Homage to Walter Lange White Gold,2017,"Yes, 145 units",White gold,,Open,Round,40.50 mm,10.70 mm,,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L1924,Analog,31.60 mm,36.0,60 h,21600 bph,"Hours, Minutes, Small Seconds, Seconds","The A. Lange & Sohne 1815 Homage to Walter Lange was introduced in late 2017 in four metals as an ode to company (re-) founder Walter Lange, who passed away in January of the same year. It features a case of 40.5mm, which houses the hand-wound caliber L1924, with both subsidiary as well as sweep seconds hands - the latter of which can be stopped and started through the pusher at 2:00.

Reference 297.0261 has a white gold case. It is a limited edition of 145 pieces, which is a reference to the years passed since the company's founding in 1845 and its re-founding in 1990.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/297-026-52.jpg,images/297-026-52.jpg
349,A. Lange & Söhne,1815,,1815 Rattrapante Perpetual Calendar Pink Gold,2013,No,Pink gold,,,,41.90 mm,14.70 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L101.1,Analog,32.60 mm,43.0,42 h,21600 bph,"Hours, Minutes, Small Seconds",The horological masterpiece that is the 1815 Rattrapante Perpetual Calendar was introduced in 2013. It features both a perpetual calendar as well as a split-seconds chronograph. Ref. 421.032 has a pink gold case.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/421-032-34.jpg,images/421-032-34.jpg
350,A. Lange & Söhne,1815,,1815 38.5 Pink Gold,2014,No,Pink gold,Sapphire,Open,,38.50 mm,8.80 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. 235.032 1815 was introduced in 2014. It features a pink gold case of 38.5mm, making it slightly smaller than its predecessor - which at this time is still in production alongside the newer model. The hand-wound caliber L051.1 can be admired through the see-through case back.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/235-032-55.jpg,images/235-032-55.jpg
351,A. Lange & Söhne,1815,,1815 Up/Down Pink Gold,2013,No,Pink gold,Sapphire,Open,,39.00 mm,8.90 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.2,Analog,30.60 mm,29.0,72 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. 234.032 was introduced in 2013. It features a pink gold case of 39mm. Powered by caliber L051.2, the 1815 Up/Down displays the hours, minutes, small seconds and power reserve. Other variations include the  234.021 in yellow gold and the 234.026 in white gold. All feature a solid silver dial with Arabic numerals.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/234-032-dd.jpg,images/234-032-dd.jpg
352,A. Lange & Söhne,1815,,1815 Kalenderwoche,2006 - 2007,"Yes, 50 units",Yellow gold,,Open,,38.40 mm,9.80 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L045.1,Analog,25.60 mm,29.0,45 h,21600 bph,"Hours, Minutes, Small Seconds",The ref. 245.021 1815 'Kalenderwoche' was created in celebration of the 150th anniversar of Munich ALS dealer Huber. It features a yellow gold case and a movement indicating the week number and day.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/245-021-93.jpg,images/245-021-93.jpg
353,A. Lange & Söhne,1815,,1815 200th Anniversary F. A. Lange,2015,"Yes, 200 units",Honey Gold,Sapphire,Open,Round,40.00 mm,8.80 mm,,Black,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds","Launched at Watches & Wonders 2015, the 1815 200th Anniversary F. A. Lange reference 236.050 features a case in 'Honey Gold' paired with a solid silver dial.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/236-050-d4.jpg,images/236-050-d4.jpg
354,A. Lange & Söhne,1815,,1815 Up / Down Walter Lange,2007 - 2008,"Yes, 50 units",Rose Gold,Sapphire,Hinged,,37.50 mm,9.00 mm,19.00 mm,White,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L942.1,Analog,27.50 mm,21.0,45 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. A. Lange & Söhne 1815 Up / Down Walter Lange was made as a limited edition of 150 pieces divided over three case metals, the ref. 223.032 being pink gold. It features a hinged caseback.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/223-032-fb.jpg,images/223-032-fb.jpg
355,A. Lange & Söhne,1815,,Double Split Sincere Pink,2005 - 2005,"Yes, 10 units",Pink gold,Sapphire,Open,,43.20 mm,15.30 mm,22.00 mm,Black,,Roman Numerals,Alpha,Handwound,A. Lange & Söhne,L001.1,Analog,30.60 mm,40.0,38 h,21600 bph,"Hours, Minutes, Small Seconds",The ref. 404.047 Double Split was created in 2005 for authorized Lange & Sohne dealer Sincere. It features a pink gold case and a black dial - no contrasting subdials.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/double-split/404-047-99.jpg,images/404-047-99.jpg
356,A. Lange & Söhne,1815,,1815 40 Pink Gold / Silver,2009,No,Rose Gold,Sapphire,Open,Round,40.00 mm,8.90 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds",The A. Lange & Söhne 233.032 was introduced in 2009. It features a pink gold case of 40mm and is powered by the hand-wound caliber L051.1.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/233-032-63.jpg,images/233-032-63.jpg
357,A. Lange & Söhne,1815,,1815 Homage to Walter Lange White Gold,2017,"Yes, 145 units",White gold,,Open,Round,40.50 mm,10.70 mm,,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L1924,Analog,31.60 mm,36.0,60 h,21600 bph,"Hours, Minutes, Small Seconds, Seconds","The A. Lange & Sohne 1815 Homage to Walter Lange was introduced in late 2017 in four metals as an ode to company (re-) founder Walter Lange, who passed away in January of the same year. It features a case of 40.5mm, which houses the hand-wound caliber L1924, with both subsidiary as well as sweep seconds hands - the latter of which can be stopped and started through the pusher at 2:00.

Reference 297.0261 has a white gold case. It is a limited edition of 145 pieces, which is a reference to the years passed since the company's founding in 1845 and its re-founding in 1990.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/297-026-52.jpg,images/297-026-52.jpg
358,A. Lange & Söhne,1815,,1815 Rattrapante Perpetual Calendar Pink Gold,2013,No,Pink gold,,,,41.90 mm,14.70 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L101.1,Analog,32.60 mm,43.0,42 h,21600 bph,"Hours, Minutes, Small Seconds",The horological masterpiece that is the 1815 Rattrapante Perpetual Calendar was introduced in 2013. It features both a perpetual calendar as well as a split-seconds chronograph. Ref. 421.032 has a pink gold case.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/421-032-34.jpg,images/421-032-34.jpg
359,A. Lange & Söhne,1815,,1815 38.5 Pink Gold,2014,No,Pink gold,Sapphire,Open,,38.50 mm,8.80 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. 235.032 1815 was introduced in 2014. It features a pink gold case of 38.5mm, making it slightly smaller than its predecessor - which at this time is still in production alongside the newer model. The hand-wound caliber L051.1 can be admired through the see-through case back.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/235-032-55.jpg,images/235-032-55.jpg
360,A. Lange & Söhne,1815,,1815 Up/Down Pink Gold,2013,No,Pink gold,Sapphire,Open,,39.00 mm,8.90 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.2,Analog,30.60 mm,29.0,72 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. 234.032 was introduced in 2013. It features a pink gold case of 39mm. Powered by caliber L051.2, the 1815 Up/Down displays the hours, minutes, small seconds and power reserve. Other variations include the  234.021 in yellow gold and the 234.026 in white gold. All feature a solid silver dial with Arabic numerals.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/234-032-dd.jpg,images/234-032-dd.jpg
361,A. Lange & Söhne,1815,,1815 Kalenderwoche,2006 - 2007,"Yes, 50 units",Yellow gold,,Open,,38.40 mm,9.80 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L045.1,Analog,25.60 mm,29.0,45 h,21600 bph,"Hours, Minutes, Small Seconds",The ref. 245.021 1815 'Kalenderwoche' was created in celebration of the 150th anniversar of Munich ALS dealer Huber. It features a yellow gold case and a movement indicating the week number and day.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/245-021-93.jpg,images/245-021-93.jpg
362,A. Lange & Söhne,1815,,1815 200th Anniversary F. A. Lange,2015,"Yes, 200 units",Honey Gold,Sapphire,Open,Round,40.00 mm,8.80 mm,,Black,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds","Launched at Watches & Wonders 2015, the 1815 200th Anniversary F. A. Lange reference 236.050 features a case in 'Honey Gold' paired with a solid silver dial.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/236-050-d4.jpg,images/236-050-d4.jpg
363,A. Lange & Söhne,1815,,1815 Up / Down Walter Lange,2007 - 2008,"Yes, 50 units",Rose Gold,Sapphire,Hinged,,37.50 mm,9.00 mm,19.00 mm,White,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L942.1,Analog,27.50 mm,21.0,45 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. A. Lange & Söhne 1815 Up / Down Walter Lange was made as a limited edition of 150 pieces divided over three case metals, the ref. 223.032 being pink gold. It features a hinged caseback.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/223-032-fb.jpg,images/223-032-fb.jpg
364,A. Lange & Söhne,1815,,Double Split Sincere Pink,2005 - 2005,"Yes, 10 units",Pink gold,Sapphire,Open,,43.20 mm,15.30 mm,22.00 mm,Black,,Roman Numerals,Alpha,Handwound,A. Lange & Söhne,L001.1,Analog,30.60 mm,40.0,38 h,21600 bph,"Hours, Minutes, Small Seconds",The ref. 404.047 Double Split was created in 2005 for authorized Lange & Sohne dealer Sincere. It features a pink gold case and a black dial - no contrasting subdials.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/double-split/404-047-99.jpg,images/404-047-99.jpg
365,A. Lange & Söhne,1815,,1815 40 Pink Gold / Silver,2009,No,Rose Gold,Sapphire,Open,Round,40.00 mm,8.90 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds",The A. Lange & Söhne 233.032 was introduced in 2009. It features a pink gold case of 40mm and is powered by the hand-wound caliber L051.1.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/233-032-63.jpg,images/233-032-63.jpg
366,A. Lange & Söhne,1815,,1815 Homage to Walter Lange White Gold,2017,"Yes, 145 units",White gold,,Open,Round,40.50 mm,10.70 mm,,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L1924,Analog,31.60 mm,36.0,60 h,21600 bph,"Hours, Minutes, Small Seconds, Seconds","The A. Lange & Sohne 1815 Homage to Walter Lange was introduced in late 2017 in four metals as an ode to company (re-) founder Walter Lange, who passed away in January of the same year. It features a case of 40.5mm, which houses the hand-wound caliber L1924, with both subsidiary as well as sweep seconds hands - the latter of which can be stopped and started through the pusher at 2:00.

Reference 297.0261 has a white gold case. It is a limited edition of 145 pieces, which is a reference to the years passed since the company's founding in 1845 and its re-founding in 1990.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/297-026-52.jpg,images/297-026-52.jpg
367,A. Lange & Söhne,1815,,1815 Rattrapante Perpetual Calendar Pink Gold,2013,No,Pink gold,,,,41.90 mm,14.70 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L101.1,Analog,32.60 mm,43.0,42 h,21600 bph,"Hours, Minutes, Small Seconds",The horological masterpiece that is the 1815 Rattrapante Perpetual Calendar was introduced in 2013. It features both a perpetual calendar as well as a split-seconds chronograph. Ref. 421.032 has a pink gold case.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/421-032-34.jpg,images/421-032-34.jpg
368,A. Lange & Söhne,1815,,1815 38.5 Pink Gold,2014,No,Pink gold,Sapphire,Open,,38.50 mm,8.80 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. 235.032 1815 was introduced in 2014. It features a pink gold case of 38.5mm, making it slightly smaller than its predecessor - which at this time is still in production alongside the newer model. The hand-wound caliber L051.1 can be admired through the see-through case back.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/235-032-55.jpg,images/235-032-55.jpg
369,A. Lange & Söhne,1815,,1815 Up/Down Pink Gold,2013,No,Pink gold,Sapphire,Open,,39.00 mm,8.90 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.2,Analog,30.60 mm,29.0,72 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. 234.032 was introduced in 2013. It features a pink gold case of 39mm. Powered by caliber L051.2, the 1815 Up/Down displays the hours, minutes, small seconds and power reserve. Other variations include the  234.021 in yellow gold and the 234.026 in white gold. All feature a solid silver dial with Arabic numerals.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/234-032-dd.jpg,images/234-032-dd.jpg
370,A. Lange & Söhne,1815,,1815 Kalenderwoche,2006 - 2007,"Yes, 50 units",Yellow gold,,Open,,38.40 mm,9.80 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L045.1,Analog,25.60 mm,29.0,45 h,21600 bph,"Hours, Minutes, Small Seconds",The ref. 245.021 1815 'Kalenderwoche' was created in celebration of the 150th anniversar of Munich ALS dealer Huber. It features a yellow gold case and a movement indicating the week number and day.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/245-021-93.jpg,images/245-021-93.jpg
371,A. Lange & Söhne,1815,,1815 200th Anniversary F. A. Lange,2015,"Yes, 200 units",Honey Gold,Sapphire,Open,Round,40.00 mm,8.80 mm,,Black,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds","Launched at Watches & Wonders 2015, the 1815 200th Anniversary F. A. Lange reference 236.050 features a case in 'Honey Gold' paired with a solid silver dial.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/236-050-d4.jpg,images/236-050-d4.jpg
372,A. Lange & Söhne,1815,,1815 Up / Down Walter Lange,2007 - 2008,"Yes, 50 units",Rose Gold,Sapphire,Hinged,,37.50 mm,9.00 mm,19.00 mm,White,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L942.1,Analog,27.50 mm,21.0,45 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. A. Lange & Söhne 1815 Up / Down Walter Lange was made as a limited edition of 150 pieces divided over three case metals, the ref. 223.032 being pink gold. It features a hinged caseback.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/223-032-fb.jpg,images/223-032-fb.jpg
373,A. Lange & Söhne,1815,,Double Split Sincere Pink,2005 - 2005,"Yes, 10 units",Pink gold,Sapphire,Open,,43.20 mm,15.30 mm,22.00 mm,Black,,Roman Numerals,Alpha,Handwound,A. Lange & Söhne,L001.1,Analog,30.60 mm,40.0,38 h,21600 bph,"Hours, Minutes, Small Seconds",The ref. 404.047 Double Split was created in 2005 for authorized Lange & Sohne dealer Sincere. It features a pink gold case and a black dial - no contrasting subdials.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/double-split/404-047-99.jpg,images/404-047-99.jpg
374,A. Lange & Söhne,1815,,1815 40 Pink Gold / Silver,2009,No,Rose Gold,Sapphire,Open,Round,40.00 mm,8.90 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds",The A. Lange & Söhne 233.032 was introduced in 2009. It features a pink gold case of 40mm and is powered by the hand-wound caliber L051.1.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/233-032-63.jpg,images/233-032-63.jpg
375,A. Lange & Söhne,1815,,1815 Homage to Walter Lange White Gold,2017,"Yes, 145 units",White gold,,Open,Round,40.50 mm,10.70 mm,,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L1924,Analog,31.60 mm,36.0,60 h,21600 bph,"Hours, Minutes, Small Seconds, Seconds","The A. Lange & Sohne 1815 Homage to Walter Lange was introduced in late 2017 in four metals as an ode to company (re-) founder Walter Lange, who passed away in January of the same year. It features a case of 40.5mm, which houses the hand-wound caliber L1924, with both subsidiary as well as sweep seconds hands - the latter of which can be stopped and started through the pusher at 2:00.

Reference 297.0261 has a white gold case. It is a limited edition of 145 pieces, which is a reference to the years passed since the company's founding in 1845 and its re-founding in 1990.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/297-026-52.jpg,images/297-026-52.jpg
376,A. Lange & Söhne,1815,,1815 Rattrapante Perpetual Calendar Pink Gold,2013,No,Pink gold,,,,41.90 mm,14.70 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L101.1,Analog,32.60 mm,43.0,42 h,21600 bph,"Hours, Minutes, Small Seconds",The horological masterpiece that is the 1815 Rattrapante Perpetual Calendar was introduced in 2013. It features both a perpetual calendar as well as a split-seconds chronograph. Ref. 421.032 has a pink gold case.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/421-032-34.jpg,images/421-032-34.jpg
377,A. Lange & Söhne,1815,,1815 Homage to Walter Lange Yellow Gold,2017,"Yes, 27 units",Yellow gold,,Open,Round,40.50 mm,10.70 mm,,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L1924,Analog,31.60 mm,36.0,60 h,21600 bph,"Hours, Minutes, Small Seconds, Seconds","The A. Lange & Sohne 1815 Homage to Walter Lange was introduced in late 2017 in four metals as an ode to company (re-) founder Walter Lange, who passed away in January of the same year. It features a case of 40.5mm, which houses the hand-wound caliber L1924, with both subsidiary as well as sweep seconds hands - the latter of which can be stopped and started through the pusher at 2:00.

Reference 297.021 has a yellow gold case. It is a limited edition of 27 pieces, which is a reference to the years passed since the company's re-founding in 1990 and Mr. Lange's passing in 2017.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/297-021-a2.jpg,images/297-021-a2.jpg
378,A. Lange & Söhne,1815,,1815 40 Yellow Gold,2009 - 2013,No,Yellow gold,Sapphire,Open,Round,40.00 mm,8.90 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds",The ref. 233.021 A. Lange & Söhne 1815 was available from 2009 to 2013. It features a yellow gold case of 40mm and a silver dial.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/233-021-37.jpg,images/233-021-37.jpg
379,A. Lange & Söhne,1815,,1815 Homage to Walter Lange Pink Gold,2017,"Yes, 90 units",Pink gold,,Open,Round,40.50 mm,10.70 mm,,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L1924,Analog,31.60 mm,36.0,60 h,21600 bph,"Hours, Minutes, Small Seconds, Seconds","The A. Lange & Sohne 1815 Homage to Walter Lange was introduced in late 2017 in four metals as an ode to company (re-) founder Walter Lange, who passed away in January of the same year. It features a case of 40.5mm, which houses the hand-wound caliber L1924, with both subsidiary as well as sweep seconds hands - the latter of which can be stopped and started through the pusher at 2:00.

Reference 297.032 has a pink gold case. It is a limited edition of 90 pieces, which is a reference to the company's founding 1990.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/297-032-b0.jpg,images/297-032-b0.jpg
380,A. Lange & Söhne,1815,,1815 Tourbillon Pink Gold,2014,No,Pink gold,Sapphire,Open,,39.50 mm,11.10 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L102.1,Analog,32.60 mm,43.0,72 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. 730.032 1815 Tourbillon - with its massive tourbillon at 6:00- was introduced at SIHH 2014. It's caliber L102.1 features hacking, zero-reset seconds; when the crown is pullend the balance stops and the seconds hand resets to twelve, allowing for precision adjustments. Ref. 730.025 is its platinum (and limited) sibling.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/730-032-9f.jpg,images/730-032-9f.jpg
381,A. Lange & Söhne,1815,,1815 Chronograph Pink Gold,2004 - 2008,No,Pink gold,Sapphire,Open,,39.50 mm,10.80 mm,20.00 mm,Black,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L951.0,Analog,30.60 mm,34.0,36 h,18000 bph,"Hours, Minutes, Small Seconds",The ref. 401.031 1815 Chronograph was available from 2004 to 2008. It features a pink gold case (39.5mm) and a black dial with silver subdials.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/401-031-4a.jpg,images/401-031-4a.jpg
382,A. Lange & Söhne,1815,,1815  Up/Down Pink Gold / Blue / Wempe,2019,"Yes, 25 units",Pink gold,Sapphire,Open,,39.00 mm,8.90 mm,20.00 mm,Blue,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.2,Analog,30.60 mm,29.0,72 h,21600 bph,"Hours, Minutes, Small Seconds","The A. Lange & Söhne 1815 Up/Down 234.042 is a limited edition of 25 pieces created in honor of the 25th anniversary of the partnership between the watch brand and Wempe jewelers. Based on the discontinued 1815 Up/Down, it features a pink gold case and a blue dial with silver subdials. It is also available in white gold as ref. 234.041.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/234-042-8f.jpg,images/234-042-8f.jpg
383,A. Lange & Söhne,1815,,1815 Grand Complication Pink Gold,2013 - 2014,"Yes, 6 units",Pink gold,Sapphire,Open,,50.00 mm,20.30 mm,24.00 mm,White,Enamel,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L1902,Analog,40.50 mm,67.0,30 h,18000 bph,"Hours, Minutes","The A. Lange & Söhne 1815 Grand Complication was introduced in 2013 and is one of Lange's most complicated watches - especially in terms of functionality. It features an array of complications, including (but not limited to) grande & petite sonnerie, split-seconds chronograph and a perpetual calendar.

Ref. 912.032 features a pink gold case.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/912-032-cc.jpg,images/912-032-cc.jpg
384,A. Lange & Söhne,1815,,1815 Chronograph Pink Gold / Black / Pulsometer,2018,No,Pink gold,Sapphire,Open,Round,39.50 mm,10.80 mm,20.00 mm,Black,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L951.5,Analog,30.60 mm,40.0,60 h,21600 bph,"Hours, Minutes, Small Seconds",The A. Lange & Söhne 1815 Chronograph reference 414.031 was added to the collection in 2018. It features a pink gold case and a black dial with pulsometer scale.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/414-031-52.jpg,images/414-031-52.jpg
385,A. Lange & Söhne,1815,,1815 Up/Down White Gold,2013,No,White gold,Sapphire,Open,,39.00 mm,8.90 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.2,Analog,30.60 mm,29.0,72 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. 234.026 was introduced in 2013. It features a white gold case of 39mm. Powered by caliber L051.2, the 1815 Up/Down displays the hours, minutes, small seconds and power reserve. Other variations include the 234.032 in pink gold and the 234.021 in yellow gold. All feature a solid silver dial with Arabic numerals.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/234-026-e6.jpg,images/234-026-e6.jpg
386,A. Lange & Söhne,1815,,1815  Up/Down Yellow Gold,2013,No,Yellow gold,Sapphire,Open,,39.00 mm,8.90 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.2,Analog,30.60 mm,29.0,72 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. 234.032 was introduced in 2013. It features a pink gold case of 39mm. Powered by caliber L051.2, the 1815 Up/Down displays the hours, minutes, small seconds and power reserve. Other variations include the 234.032 in pink gold and the 234.026 in white gold. All feature a solid silver dial with Arabic numerals.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/234-021-f3.jpg,images/234-021-f3.jpg
387,A. Lange & Söhne,1815,,1815 Up / Down Yellow Gold,1997 - 2008,No,Yellow gold,Sapphire,Open,,35.90 mm,7.90 mm,19.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L942.1,Analog,27.50 mm,21.0,45 h,21600 bph,"Hours, Minutes, Small Seconds",The ref. 221.021 1815 Up / Down was available from 1997 to 2008. It features a yellow gold case of 35.90 mm and a silver dial with Arabic numerals. It is powered by caliber L942.1.,https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/221-021-7e.jpg,images/221-021-7e.jpg
388,A. Lange & Söhne,1815,,1815 38.5 White Gold,2014,No,White gold,Sapphire,Open,,38.50 mm,8.80 mm,20.00 mm,Silver,Silver,Arabic Numerals,Alpha,Handwound,A. Lange & Söhne,L051.1,Analog,30.60 mm,23.0,55 h,21600 bph,"Hours, Minutes, Small Seconds","The ref. 235.032 1815 was introduced in 2014. It features a white gold case of 38.5mm, making it slightly smaller than its predecessor - which at this time is still in production alongside the newer model. The hand-wound caliber L051.1 can be admired through the see-through case back.",https://watchbase.r.sizr.io/watch/lg/a-lange-sohne/1815/235-026-aa.jpg,images/235-026-aa.jpg
