basic_info_brand,basic_info_family,basic_info_reference,basic_info_name,basic_info_produced,basic_info_limited,case_material,case_glass,case_back,case_shape,case_diameter,case_height,case_lug width,dial_color,dial_material,dial_indexes,dial_hands,movement_type,movement_brand,movement_caliber,movement_display,movement_diameter,movement_jewels,movement_reserve,movement_frequency,movement_time,description,image_link
Breitling,Transocean,,Transocean Chronograph 38 Blue / Milanese,2013,No,Stainless steel,Sapphire,Closed,Round,38.00 mm,14.50 mm,20.00 mm,Blue,,Stick / Dot,Stick,Automatic,Breitling,B41,Analog,25.60 mm,38,42 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph 38 is a smaller version of the Transocean Chrono - packing the same neo-vintage & classical looks in a 38mm case. Contrary to its bigger sibling, it is powered by the B41 movement.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4131012c862171a-67.jpg
Breitling,Transocean,,Transocean Day & Date Red Gold / Black / Croco / Folding,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-bb70-732p-r20d-1-f8.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Panda / Calf / Folding,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.G724 has a stainless steel case and a 'Mercury' silver dial with anthracite sub dials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-g724-436x-a20d-1-2c.png
Audemars Piguet,Millenary,,Millenary 4101 Pink Gold,2011,No,Pink gold,Sapphire,Open,Oval,47.00 mm,13.00 mm,,Black,,Roman Numerals,Alpha,Automatic,Audemars Piguet,AP 4101,Analog,26.60 mm,34,60 h,28800 bph,"Hours, Minutes, Small Seconds","The Audemars Piguet Millenary 4101 was introduced in 2011. It features the signature oval Millienary case paired with an in-house, oval-shaped movement with the balance wheel visible from the front.

Reference 15350OR.OO.D093CR.01 has a pink gold case. ",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/millenary/15350or-oo-d093cr-01-62.png
Breitling,Transocean,,Transocean Day & Date Red Gold / Black / Croco / Folding,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-bb70-740p-r20d-1-17.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Reverse Panda / Croco / Pin,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212/BF26 has a black dial with contrasting sub dials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-bf26-739p-a20ba-1-a4.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Silver / Calf / Folding,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-g751-438x-a20d-1-c9.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Silver / Milanese,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a45310121g1a1-71.png
Bell & Ross,Instruments,,BR 03 Rafale,2015,"Yes, 500 units",,Sapphire,Closed,Square,42.00 mm,,,Grey,,Mixed,Sword,Automatic,Bell & Ross,BR-CAL.301,Analog,28.00 mm,37,42 h,28800 bph,"Hours, Minutes, Small Seconds","Introduced at BaselWorld 2015, the BR 03 Rafale is created to the most successful multi-role fighter aircraft on the market: the Rafale. It features a matte black ceramic case and a grey dial with both the Rafale logo as well as an image of the plane itself. It is powered by caliber BR-CAL 301, which presumably is a renamed ETA 2984.",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br03-rafale-5e.png
Audemars Piguet,Jules Audemars,,Jules Audemars 26003 Equation of Time White Gold / Silver,,No,White gold,Sapphire,Open,Round,43.00 mm,11.70 mm,,Silver,,Roman Numerals,Feuille,Automatic,Audemars Piguet,AP 2120 / 2808,Analog,28.20 mm,41,40 h,19800 bph,"Hours, Minutes","The Jules Audemars reference 26003BC.OO.D002CR.01 has a white gold case (43mm) and a silvered dial with Roman numerals. It is powered by the selfwinding caliber 2120 with module 2808 - the latter provides it with a perpetual calendar with equation of time, and sunrise & -set times.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26003bc-oo-d002cr-01-43.png
Bell & Ross,Instruments,,BR 01 93 GMT 24H,,No,Stainless steel,Sapphire,Closed,Square,46.00 mm,,,Black,,Mixed,Sword,Automatic,ETA,2893-3,Analog,25.60 mm,21,42 h,28800 bph,"Hours, Minutes, Seconds, World Time","To create the BR 01 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 01 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.
The present example features a stainless steel case with PVD finish, black dial with oversized four Arabic numerals, a bold orange 24h hand and a rubber strap.
Reference BR0193-GMT",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0193gmt-cf.png
Breitling,Transocean,,Transocean Day & Date Red Gold / Silver / Croco / Folding,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-g752-740p-r20d-1-13.png
Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Green / Fixolex ®,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Green,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a green dial and is fitted a Fixoflex® stainless steel bracelet.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239f-a4-1-h-9c.jpg
Bell & Ross,Instruments,,BR 01 94 Pro Titanium Chronograph,,No,Titanium,Sapphire,Closed,Square,46.00 mm,,,Grey,,Mixed,Stick,Automatic,ETA,2894-2,Analog,28.00 mm,37,42 h,28800 bph,"Hours, Minutes, Small Seconds","To create the BR 01 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 01 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.
The present example features a sophisticated titanium case, a grey dial with over-sized three Arabic numerals and a rubber strap. The three-counter chronograph movement is automatic and also features a date window at 4:30.
Reference BR0194-TI-PRO",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0194-ti-pro-1b.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Black / Croco / Pin,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-bb69-743p-a20ba-1-eb.png
Audemars Piguet,Jules Audemars,,Jules Audemars 26100 Chronograph White Gold / Creme Vintage,,No,White gold,Sapphire,Open,Round,41.00 mm,12.70 mm,,Cream,,Arabic Numerals,Poire,Automatic,Audemars Piguet,AP 3124 / 3841,Analog,29.92 mm,59,50 h,21600 bph,"Hours, Minutes, Small Seconds","The Jules Audemars 26100BC.OO.D002CR.01 has an off-white dial with painted Breguet numerals and black 'poire' hands, giving Audemrs Piguet self-winding chronograph a vintage-inspired look. ",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/26100bc-oo-d002cr-01-d5.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Croco / Pin,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a stainless steel case and a black dial.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-739p-a20ba-1-87.png
Breitling,Transocean,,Transocean Day & Date Red Gold / Silver / Croco / Folding,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-g752-732p-r20d-1-88.png
Breitling,Transocean,,Transocean Day & Date Red Gold / Silver / Croco / Pin,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-g752-743p-r20ba-1-5.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Reverse Panda / Rubber / Folding,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-bf26-281s-a20d-2-41.png
Breitling,Transocean,,Transocean,2011 - 2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B10,Analog,25.60 mm,21,42 h,28800 bph,"Hours, Minutes, Seconds","Transocean

The Transocean reinterprets the pure design of the classic 1950s and 60s in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.



REF. R1036012.G722.433X",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r1036012g722433x-e5.jpg
Breitling,Transocean,,Transocean Chronograph Red Gold / Silver / Croco,2011,No,Red Gold,Sapphire,Open,Round,43.00 mm,,22.00 mm,White,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","Transocean Chronograph

The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.


REF. RB015212.G738.737P",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/rb015212-g738-737p-17.jpg
Breitling,Transocean,,Transocean Chronograph 38 Gold / Blue / Racer,2013,No,Red Gold,Sapphire,Closed,Round,38.00 mm,14.50 mm,20.00 mm,Blue,,Stick / Dot,Stick,Automatic,Breitling,B41,Analog,25.60 mm,38,42 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph 38 is a smaller version of the Transocean Chrono - packing the same neo-vintage & classical looks in a 38mm case. Contrary to its bigger sibling, it is powered by the B41 movement.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4131012c863223r-3f.jpg
Bell & Ross,Instruments,,BR-01 Laughing Skull,2018/3,"Yes, 500 units",Stainless steel,Sapphire,Closed,Square,46.00 mm,,24.00 mm,Silver,,Mixed,Proprietary ,Handwound,Bell & Ross,BR-CAL.206,Analog,,21,50 h,,"Hours, Minutes","The Bell & Ross Laughing Skull was introduced in mid 2018. It features a micro-blasted stainless steel case, which holds a proprietary hand-wound movement. When winding the watch the jaw of the skull moves up and down.The present version is set with 394 diamonds for a total of 2.891 carats.",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br01-skull-sk-fld-cf.png
Cartier,Crash de Cartier,,Crash Skeleton Platinum,2014 - 2015,"Yes, 67 units",Platinum,Mineral,Open,Other,28.15 mm,9.62 mm,,Skeleton,,Roman Numerals,Sword,Handwound,Cartier,9618 MC,Analog,21.20 mm,35,72 h,28800 bph,"Hours, Minutes","The Cartier Crash Skeleton was introduced in 2014 as a contemporary and highly limited take on the iconic Crash watch - one the brand's most sought-after classics. Limited to just 67 pieces, the sculpted case was made of platinum, housing an equally sculpted movement whose bridges were hollowed out to form the brand's signature Roman numerals. The size of the case is approximately 28.15*45.32 mm.

A pink gold Crash Skeleton, also limited to 67 pieces, was introduced in 2016. ",https://watchbase.r.sizr.io/watch/lg/cartier/santos-de-cartier/w7200001-db.png
Breitling,Transocean,,Transocean Chronograph Stainless Steel Red Gold / Black / Croco,,No,,Sapphire,Open,Round,43.00 mm,14.40 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","Transocean Chronograph

The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.


REF. UB015212BC74739P",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ub015212-bc74-739p-e6.jpg
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Calf / Pin,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a black dial with black subdials.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-437x-a20ba-1-37.png
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Silver / Calf / Pin,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-g751-112x-a20d-1-ec.png
Bell & Ross,Instruments,,BR 01 92 Carbon Fiber,,"Yes, 500 units",,Sapphire,Closed,Square,46.00 mm,,24.00 mm,Black,Carbon,Mixed,Stick,Automatic,ETA,2892-A2,Analog,25.60 mm,21,42 h,28800 bph,"Hours, Minutes, Seconds","To create the BR 01 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 01 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.
The BR 01 Carbon Fiber is made from carbon fiber: case, dial and strap. The ultra-light and extremely tough carbon fiber optimizes the watch's performance: it gives the wearer unrivalled comfort without compromising the solidity of the case.
Reference BR0192-CA FIBER",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0192-ca-fiber-3a.png
Apple,Watch,,Watch 42mm,2015,No,,Sapphire,Closed,Rectangular,35.90 mm,10.50 mm,,,,Mixed,Proprietary ,Processor,Apple,Apple Watch,Digital,,,18 h,,"Hours, Minutes, Seconds, World Time","The Apple Watch in 42mm has a stainless steel case with a ceramic back in 35.9x42.0mm at a height of 10.5mm. It is splash proof though not water resistant. The 'movement' has a power reserve of 18 hours, after which it can be recharged using a magnetic charging cable. The glass on the Apple Watch version is sapphire.

Synced with an iPhone, it keeps time to within 50 milliseconds of the definitive global time standard. The 'dial' can of course be customized. It features various sensors to keep track of health and activity.

Available in a wide range of versions, the current version of the Apple Watch has a stainless steel case and a matching link bracelet made up out of over 100 components. Both are pvd coated.",https://watchbase.r.sizr.io/watch/lg/apple/apple-watch/mj482ll-d1.jpg
Breitling,Transocean,,Transocean Chronograph 1461 Stainless Steel / Silver / Bracelet,,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,15.25 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B19,Analog,,38,42 h,28800 bph,"Hours, Minutes, Small Seconds","In the Transocean Chronograph 1461, the chronograph is combined with a complete calendar requiring adjustment only once every leap year, meaning every 1,461 days. The case measures 43mm across.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a1931012-g750-154a-32.jpg
Breitling,Transocean,,Transocean Day & Date Red Gold / Silver / Calf / Folding,2012,No,Red Gold,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/r4531012-g752-434x-r20d-1-56.png
Bell & Ross,Instruments,,BR 01 96 Grande Date,,No,Stainless steel,Sapphire,Closed,Square,46.00 mm,,,Silver,,Arabic Numerals,Sword,Automatic,ETA,2896,Analog,25.60 mm,21,42 h,28800 bph,"Hours, Minutes, Seconds","To create the BR 01 aviation watch, the Bell & Ross designers took their inspiration from aeronautical instrumentation, the ultimate reference point for legibility and reliability. Available in a variety of models, the BR 01 Instrument watch is no longer exclusively reserved for pilots. It has become an iconic watch to the great delight of watch collectors.
The present example features a stainless steel case, silver dial with oversized Arabic numerals and a rubber strap. This watch is fitted with a big date display at 3:00
Reference BR0196-WH-ST",https://watchbase.r.sizr.io/watch/lg/bell-ross/aviation/br0196whst-73.jpg
Breitling,Transocean,,Transocean Chronograph Red Gold / Blue / Rubber Aero Classic,2011,No,Red Gold,Sapphire,Open,Round,43.00 mm,,22.00 mm,Blue,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/rb015212-c940-281s-17.jpg
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Black / Military,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-bb69-109w-4d.jpg
Breitling,Transocean,,Transocean Day & Date Stainless Steel / Silver / Calf / Folding,2012,No,Stainless steel,Sapphire,Closed,Round,43.00 mm,12.80 mm,22.00 mm,Silver,,Stick / Dot,Stick,Automatic,Breitling,B45,Analog,29.00 mm,25,38 h,28800 bph,"Hours, Minutes, Seconds","The Breitling Transocean Day & Date is inspired by the original 1958 Transocean. It features a classical round case in a contemporary 43mm, and an understated dial with windows for both day and date.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/a4531012-g751-434x-a20d-1-bf.png
Audemars Piguet,Jules Audemars,,Jules Audemars 25866 Grande Complication Pink Gold / White Breguet,,No,Pink gold,Sapphire,Open,Round,42.00 mm,14.00 mm,,White,,Arabic Numerals,Feuille,Automatic,Audemars Piguet,AP 2885,Analog,31.60 mm,52,45 h,19800 bph,"Hours, Minutes, Small Seconds","The Jules Audemars is a gentleman's watch with perpetual calendar, minute repeater, split seconds chronograph, moon phase and small seconds - earning it the 'Grande Complication' moniker.

Reference 25866OR.OO.D002CR.02 has a pink gold case and a white dial with Breguet numerals. ",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/25866or-oo-d002cr-02-96.png
Audemars Piguet,Jules Audemars,,Jules Audemars 25866 Grande Complication Yellow Gold / White Breguet,,No,Yellow gold,Sapphire,Open,Round,42.00 mm,14.00 mm,,Silver,,Arabic Numerals,Feuille,Automatic,Audemars Piguet,AP 2885,Analog,31.60 mm,52,45 h,19800 bph,"Hours, Minutes, Small Seconds","The Jules Audemars is a gentleman's watch with perpetual calendar, minute repeater, split seconds chronograph, moon phase and small seconds - earning it the 'Grande Complication' moniker.

Reference 25866BA.OO.D002CR.02 has a yellow gold case and a white dial with Breguet numerals.",https://watchbase.r.sizr.io/watch/lg/audemars-piguet/jules-audemars/25866ba-oo-d002cr-02-d.png
Breitling,Transocean,,Transocean Chronograph Red Gold / Black / Air Racer,2011,No,Red Gold,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated case of 43mm carries onboard a high-performance movement in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/rb015212-bb16-220r-b5.jpg
Breitling,Transocean,,Transocean Chronograph Boutique Edition,2014,"Yes, 2000 units",Stainless steel,Sapphire,Hunter,Round,43.00 mm,,,Silver,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","Transocean Chronograph Boutique Edition 

For this model, Breitling put in quite the effort to create something special. Of course there's the dial - wonderful and warm two-tone silver with gold details. Than there's the movement: Breitling dropped the hour counter of the caliber B01 in favor of the classic two-subdial look. The date is now at 6:00.

But perhaps the most unusual feature is the caseback. The Breitling TransOcean Chronograph Boutique Edition uses a hinged case back. The wonderful movement is hidden beneath an extra lid, only to be displayed at the owners discretion. A very cool and traditional touch.
The Breitling TransOcean Chronograph Boutique Edition AB015412.G784.154A is a limited edition of 2.000 pieces.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015412g784154a-36.jpg
Breitling,Transocean,,Transocean Chronograph Stainless Steel / Black / Croco / Folding,2011,No,Stainless steel,Sapphire,Open,Round,43.00 mm,,22.00 mm,Black,,Stick / Dot,Stick,Automatic,Breitling,B01,Analog,,47,70 h,28800 bph,"Hours, Minutes, Small Seconds","The Transocean Chronograph reinterprets the pure design of the classic 1950s and 60s chronographs in a resolutely contemporary style. The slender, understated fuselage carries onboard a high-performance “engine” in the shape of Caliber 01, entirely developed and produced in the Breitling workshops. The dial is a model of clarity and readability featuring refined details such as applied hour-markers, finely recessed and snailed counters, as well as an 18K gold version of the B initial that served for many years as the brand symbol.

Ref. AB015212.BA99 has a stainless steel case and a black dial.",https://watchbase.r.sizr.io/watch/lg/breitling/transocean/ab015212-ba99-738p-a20d-1-7a.png
Archimede,Outdoor,,OutDoor 39 Protect Stainless Steel / Cream / Leather,,No,Stainless steel,Sapphire,Closed,Round,39.00 mm,11.20 mm,20.00 mm,Cream,,Arabic Numerals,Stick,Automatic,Sellita,SW200-1,Analog,25.60 mm,26,38 h,28800 bph,"Hours, Minutes, Seconds","This watch is powered by a Swiss Made SW 200-1  automatic movement, which offers high precision and reliability. The solid crafted three-piece case with sapphire crystal is made from finely brushed stainless steel finished by Ickler. 

This specific OutDoor Protect has a cream dial and is fitted a leather strap.",https://watchbase.r.sizr.io/watch/lg/archimede/outdoor/ua8239-a5-1-h-85.jpg
