Short_Name,School_Type,Primary_Category,Zip,Excelerate_Award_Gold_Year,Student_Attainment_Rating,Attainment_Reading_Pct_ES,Attainment_Reading_Lbl_ES,Attainment_Math_Pct_ES,Attainment_Math_Lbl_ES,Culture_Climate_Rating,School_Survey_Student_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Parent_Response_Rate_Pct,Healthy_School_Certification,Healthy_School_Certification_Description,Creative_School_Certification,Creative_School_Certification_Description,NWEA_Reading_Attainment_Grade_2_Pct,NWEA_Reading_Attainment_Grade_2_Lbl,NWEA_Reading_Attainment_Grade_3_Pct,NWEA_Reading_Attainment_Grade_3_Lbl,NWEA_Reading_Attainment_Grade_4_Pct,NWEA_Reading_Attainment_Grade_4_Lbl,NWEA_Reading_Attainment_Grade_5_Pct,NWEA_Reading_Attainment_Grade_5_Lbl,NWEA_Reading_Attainment_Grade_6_Pct,NWEA_Reading_Attainment_Grade_6_Lbl,NWEA_Reading_Attainment_Grade_7_Pct,NWEA_Reading_Attainment_Grade_7_Lbl,NWEA_Reading_Attainment_Grade_8_Pct,NWEA_Reading_Attainment_Grade_8_Lbl,NWEA_Math_Attainment_Grade_2_Pct,NWEA_Math_Attainment_Grade_2_Lbl,NWEA_Math_Attainment_Grade_3_Pct,NWEA_Math_Attainment_Grade_3_Lbl,NWEA_Math_Attainment_Grade_4_Pct,NWEA_Math_Attainment_Grade_4_Lbl,NWEA_Math_Attainment_Grade_5_Pct,NWEA_Math_Attainment_Grade_5_Lbl,NWEA_Math_Attainment_Grade_6_Pct,NWEA_Math_Attainment_Grade_6_Lbl,NWEA_Math_Attainment_Grade_7_Pct,NWEA_Math_Attainment_Grade_7_Lbl,NWEA_Math_Attainment_Grade_8_Pct,NWEA_Math_Attainment_Grade_8_Lbl,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Misconducts_To_Suspensions_Year_1_Pct,Average_Length_Suspension_Year_1_Pct,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Student_Attendance_Year_1_Pct,Teacher_Attendance_Year_1_Pct,Progress_Toward_Graduation_Year_1,Progress_Toward_Graduation_Year_2,Chronic_Truancy_Pct,Supportive_School_Award,School_Latitude,School_Longitude
HENDRICKS,Neighborhood,ES,"60,609",2018,BELOW AVERAGE,27,27th,31,31st,ORGANIZED,90.9,86.7,38%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",5,5th,3,3rd,5,5th,12,12th,33,33rd,61,61st,81,81st,2,2nd,12,12th,3,3rd,19,19th,43,43rd,32,32nd,86,86th,NEUTRAL,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,STRONG,8.3,22.4,1.5 days,NEUTRAL,STRONG,STRONG,93.4,96,"2,017","2,018",39.1,EMERGING,41.815788,-87.633664
URBAN PREP - ENGLEWOOD HS,Charter,HS,"60,621",,FAR BELOW EXPECTATIONS,,,,,PARTIALLY ORGANIZED,46.6,52.2,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,INCOMPLETE DATA,"This school has an arts designation of Incomplete Data, and may or may not meet the goals and priorities of the CPS Arts Education Plan, but the school has insufficient data available to complete an assessment. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,WEAK,NOT ENOUGH DATA,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,91.4,,"2,017","2,018",38.6,NOT RATED,41.781498,-87.634357
KIPP - ONE,Charter,ES,"60,624",,ABOVE AVERAGE,72,72nd,81,81st,WELL ORGANIZED,96.9,99.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,80,80th,67,67th,,,,,,,,,,,81,81st,82,82nd,,,,,STRONG,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.9,,"2,017","2,018",0.2,NOT RATED,41.893805,-87.726615
IRVING,Neighborhood,ES,"60,612",2018,BELOW AVERAGE,38,38th,22,22nd,PARTIALLY ORGANIZED,71.5,63.6,42%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",25,25th,36,36th,31,31st,26,26th,54,54th,31,31st,58,58th,23,23rd,36,36th,20,20th,18,18th,12,12th,13,13th,37,37th,NEUTRAL,WEAK,STRONG,WEAK,WEAK,WEAK,1.5,1.1,1.0 days,STRONG,VERY STRONG,STRONG,93.9,93.8,"2,017","2,018",22.6,EMERGING,41.871595,-87.683616
JEFFERSON HS,Citywide-Option,HS,"60,612",,FAR BELOW EXPECTATIONS,,,,,ORGANIZED,99.9,81.6,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERY STRONG,WEAK,NEUTRAL,VERY STRONG,VERY STRONG,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,97.5,92,"2,017","2,018",,NOT RATED,41.867832,-87.680418
MARINE LEADERSHIP AT AMES HS,Military academy,HS,"60,647",,BELOW EXPECTATIONS,77,77th,60,60th,WELL ORGANIZED,65.4,88.5,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,71,71st,78,78th,,,,,,,,,,,50,50th,65,65th,VERY STRONG,STRONG,VERY STRONG,STRONG,STRONG,WEAK,6.4,20.3,1.5 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.2,96.3,"2,017","2,018",34.1,EXEMPLARY,41.916045,-87.721742
KIPP - ASCEND,Charter,ES,"60,623",,BELOW AVERAGE,33,33rd,39,39th,ORGANIZED,87.2,83.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",9,9th,34,34th,17,17th,35,35th,46,46th,69,69th,52,52nd,10,10th,51,51st,28,28th,28,28th,25,25th,87,87th,42,42nd,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,NEUTRAL,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.8,,"2,017","2,018",39.8,NOT RATED,41.85837,-87.721071
ALCOTT HS,Small,HS,"60,618",,BELOW EXPECTATIONS,,,,,WELL ORGANIZED,87.5,75,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,2.9,42.9,1.4 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,88.7,,"2,017","2,018",58.2,EMERGING,41.935795,-87.680562
SAUCEDO,Magnet,ES,"60,623",2018,AVERAGE,58,58th,49,49th,MODERATELY ORGANIZED,94.7,81.6,46%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",30,30th,38,38th,54,54th,53,53rd,63,63rd,62,62nd,77,77th,33,33rd,30,30th,39,39th,26,26th,40,40th,65,65th,81,81st,STRONG,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,0.6,2.4,2.8 days,WEAK,VERY STRONG,NEUTRAL,95.3,94.5,"2,017","2,018",18.3,EMERGING,41.847941,-87.697316
ACERO - IDAR,Charter,ES,"60,632",,ABOVE AVERAGE,66,66th,84,84th,NOT YET ORGANIZED,81.3,81.5,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",51,51st,68,68th,63,63rd,70,70th,60,60th,66,66th,73,73rd,32,32nd,93,93rd,72,72nd,91,91st,71,71st,83,83rd,93,93rd,NEUTRAL,WEAK,NEUTRAL,WEAK,WEAK,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.5,,"2,017","2,018",11.9,NOT RATED,41.801042,-87.708797
DRAKE,Neighborhood,ES,"60,616",2018,BELOW AVERAGE,17,17th,8,8th,WELL ORGANIZED,80.2,96.8,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",9,9th,5,5th,13,13th,6,6th,32,32nd,38,38th,51,51st,1,1st,8,8th,4,4th,4,4th,4,4th,15,15th,16,16th,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,VERY STRONG,STRONG,7.3,44.6,2.2 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,92.3,94.6,"2,017","2,018",39.4,EMERGING,41.844043,-87.628553
EVERETT,Neighborhood,ES,"60,608",2018,ABOVE AVERAGE,74,74th,62,62nd,WELL ORGANIZED,0,84.2,60%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",89,89th,89,89th,64,64th,55,55th,,,,,,,54,54th,90,90th,44,44th,66,66th,,,,,,,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,VERY STRONG,NOT ENOUGH DATA,2,2.8,1.0 days,NEUTRAL,STRONG,NEUTRAL,96,96,"2,017","2,018",15.3,EXEMPLARY,41.831555,-87.68131
LEWIS,Neighborhood,ES,"60,651",2018,BELOW AVERAGE,27,27th,21,21st,WELL ORGANIZED,92.3,89.2,66%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",33,33rd,19,19th,19,19th,9,9th,24,24th,44,44th,47,47th,25,25th,14,14th,23,23rd,7,7th,5,5th,33,33rd,44,44th,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,4,50,2.1 days,STRONG,STRONG,STRONG,95.8,96.5,"2,017","2,018",26,EMERGING,41.906826,-87.75455
DARWIN,Neighborhood,ES,"60,647",2018,AVERAGE,61,61st,46,46th,WELL ORGANIZED,97.7,94.3,65%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",31,31st,46,46th,41,41st,45,45th,56,56th,70,70th,88,88th,32,32nd,34,34th,20,20th,25,25th,34,34th,58,58th,80,80th,STRONG,STRONG,STRONG,NEUTRAL,STRONG,NEUTRAL,1.9,47.6,2.2 days,STRONG,STRONG,STRONG,96.2,95.8,"2,017","2,018",10.6,EXEMPLARY,41.923323,-87.705413
FORT DEARBORN,Neighborhood,ES,"60,620",2018,BELOW AVERAGE,33,33rd,26,26th,MODERATELY ORGANIZED,91.9,66.7,> 75%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",18,18th,14,14th,38,38th,33,33rd,64,64th,8,8th,51,51st,31,31st,14,14th,25,25th,20,20th,24,24th,29,29th,29,29th,WEAK,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,8.3,15.3,1.7 days,NEUTRAL,NEUTRAL,STRONG,94.2,95.2,"2,017","2,018",13.2,NOT RATED,41.729673,-87.655481
PIRIE,Neighborhood,ES,"60,619",2018,AVERAGE,49,49th,26,26th,WELL ORGANIZED,81.8,85,54%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",31,31st,84,84th,57,57th,53,53rd,17,17th,,,,,22,22nd,58,58th,37,37th,17,17th,6,6th,,,,,STRONG,NEUTRAL,STRONG,STRONG,STRONG,VERY WEAK,14.8,23.6,1.6 days,STRONG,STRONG,STRONG,94.5,95,"2,017","2,018",29.6,EMERGING,41.74034,-87.607891
ALCOTT ES,Neighborhood,ES,"60,614",2018,FAR ABOVE AVERAGE,97,97th,96,96th,ORGANIZED,96.3,58.5,42%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",87,87th,99,99th,96,96th,98,98th,97,97th,99,99th,95,95th,79,79th,93,93rd,90,90th,99,99th,98,98th,99,99th,98,98th,VERY STRONG,WEAK,STRONG,NEUTRAL,STRONG,NEUTRAL,0.2,0.5,2.0 days,VERY STRONG,NEUTRAL,WEAK,95,94.8,"2,017","2,018",11.3,EMERGING,41.92985,-87.646413
ALDRIDGE,Neighborhood,ES,"60,827",2018,BELOW AVERAGE,33,33rd,33,33rd,ORGANIZED,89.7,99.9,55%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",6,6th,35,35th,56,56th,13,13th,42,42nd,59,59th,60,60th,4,4th,35,35th,49,49th,6,6th,47,47th,75,75th,48,48th,STRONG,WEAK,VERY STRONG,NEUTRAL,STRONG,WEAK,8.9,23.1,2.4 days,STRONG,NEUTRAL,NEUTRAL,93.5,93,"2,017","2,018",60.2,ESTABLISHED,41.657405,-87.606474
CUFFE,Neighborhood,ES,"60,620",2018,AVERAGE,55,55th,30,30th,WELL ORGANIZED,74.8,79.2,53%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",12,12th,60,60th,46,46th,33,33rd,49,49th,83,83rd,81,81st,13,13th,56,56th,25,25th,4,4th,21,21st,42,42nd,65,65th,STRONG,VERY STRONG,VERY STRONG,STRONG,STRONG,VERY STRONG,1.1,50,2.0 days,STRONG,NEUTRAL,VERY STRONG,94.5,95.9,"2,017","2,018",29.1,NOT RATED,41.742452,-87.653633
LORCA,Neighborhood,ES,"60,618",2018,AVERAGE,63,63rd,64,64th,WELL ORGANIZED,93.5,89.3,42%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",54,54th,56,56th,37,37th,38,38th,76,76th,77,77th,81,81st,48,48th,50,50th,39,39th,46,46th,52,52nd,83,83rd,91,91st,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,0,0,0.0 days,NEUTRAL,STRONG,STRONG,96,95.8,"2,017","2,018",12.7,EXEMPLARY,41.940026,-87.724783
WEST PARK,Neighborhood,ES,"60,651",2018,BELOW AVERAGE,26,26th,16,16th,NOT YET ORGANIZED,94.6,99.9,30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",4,4th,25,25th,15,15th,16,16th,35,35th,55,55th,48,48th,4,4th,21,21st,14,14th,7,7th,19,19th,19,19th,24,24th,NEUTRAL,WEAK,NEUTRAL,WEAK,WEAK,WEAK,18.1,28.1,2.5 days,WEAK,WEAK,WEAK,93.5,94.7,"2,017","2,018",30.8,EMERGING,41.906907,-87.732443
CICS - WASHINGTON PARK,Charter,ES,"60,637",,AVERAGE,60,60th,47,47th,ORGANIZED,89.1,77.5,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",62,62nd,38,38th,31,31st,44,44th,76,76th,76,76th,86,86th,48,48th,36,36th,32,32nd,24,24th,57,57th,54,54th,67,67th,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,93,,"2,017","2,018",38.9,NOT RATED,41.783617,-87.622068
GRAHAM ES,Neighborhood,ES,"60,609",2018,AVERAGE,54,54th,47,47th,MODERATELY ORGANIZED,92.7,75.8,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",48,48th,41,41st,56,56th,40,40th,55,55th,53,53rd,76,76th,62,62nd,43,43rd,44,44th,25,25th,31,31st,46,46th,75,75th,NEUTRAL,NEUTRAL,STRONG,WEAK,NEUTRAL,NEUTRAL,10.4,33.3,1.6 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,92.7,95.1,"2,017","2,018",37.1,ESTABLISHED,41.813304,-87.643344
HAINES,Neighborhood,ES,"60,616",2018,FAR ABOVE AVERAGE,90,90th,98,98th,ORGANIZED,97.9,92.9,69%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",80,80th,90,90th,89,89th,80,80th,91,91st,94,94th,97,97th,92,92nd,96,96th,96,96th,92,92nd,98,98th,99,99th,99,99th,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,0,0,0.0 days,WEAK,NEUTRAL,WEAK,98.2,95.4,"2,017","2,018",5.7,ESTABLISHED,41.849958,-87.633806
JORDAN,Neighborhood,ES,"60,626",2018,AVERAGE,57,57th,52,52nd,PARTIALLY ORGANIZED,97.8,90.7,45%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",39,39th,25,25th,62,62nd,44,44th,52,52nd,81,81st,69,69th,70,70th,42,42nd,51,51st,51,51st,20,20th,63,63rd,61,61st,NEUTRAL,NEUTRAL,STRONG,WEAK,WEAK,WEAK,3.9,15.4,1.8 days,NEUTRAL,STRONG,STRONG,95.4,94.3,"2,017","2,018",29.2,EXEMPLARY,42.017088,-87.677763
HEALY,Neighborhood,ES,"60,616",2018,FAR ABOVE AVERAGE,94,94th,98,98th,ORGANIZED,91.6,88.8,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",92,92nd,94,94th,91,91st,92,92nd,90,90th,96,96th,97,97th,97,97th,98,98th,98,98th,98,98th,98,98th,99,99th,99,99th,STRONG,WEAK,NEUTRAL,STRONG,STRONG,WEAK,7,0.7,1.0 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.6,95.4,"2,017","2,018",4.4,ESTABLISHED,41.839595,-87.640341
HALEY,Neighborhood,ES,"60,628",2018,BELOW AVERAGE,29,29th,30,30th,WELL ORGANIZED,99.9,87.2,45%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",10,10th,16,16th,19,19th,24,24th,30,30th,33,33rd,72,72nd,16,16th,37,37th,25,25th,15,15th,27,27th,20,20th,59,59th,STRONG,STRONG,VERY STRONG,STRONG,STRONG,WEAK,1.9,16.2,2.6 days,NEUTRAL,NEUTRAL,STRONG,95.7,94.4,"2,017","2,018",2.5,EMERGING,41.68666,-87.633632
NIXON,Neighborhood,ES,"60,639",2018,BELOW AVERAGE,21,21st,22,22nd,WELL ORGANIZED,94.7,90.6,38%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",11,11th,19,19th,18,18th,19,19th,29,29th,,,,,6,6th,36,36th,40,40th,16,16th,13,13th,,,,,STRONG,NEUTRAL,VERY STRONG,STRONG,STRONG,WEAK,0.8,6,1.3 days,STRONG,STRONG,NEUTRAL,95.3,95.1,"2,017","2,018",17.6,ESTABLISHED,41.919581,-87.73142
HUGHES C,Neighborhood,ES,"60,623",2018,BELOW AVERAGE,34,34th,39,39th,ORGANIZED,74.6,86.4,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",2,2nd,29,29th,49,49th,15,15th,34,34th,75,75th,71,71st,3,3rd,34,34th,40,40th,29,29th,65,65th,42,42nd,55,55th,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,NEUTRAL,NEUTRAL,0.7,13.3,1.5 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.9,95,"2,017","2,018",11,NOT RATED,41.860518,-87.731777
